                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.32838,                0.29362,                0.90757,                0.89346,                0.91206,                0.93627,                0.85523,                0.42883,                0.46019,                 0.9711,             0.00018362,             0.00018362,             0.00018362
                    110,                0.32672,                0.29111,                0.90954,                0.91522,                 0.8862,                0.93092,                0.86132,                0.45719,                0.45892,                 1.0027,              0.0001795,              0.0001795,              0.0001795
                    111,                0.33119,                0.29711,                0.91024,                0.80698,                0.93085,                0.93861,                0.86627,                0.43628,                0.45061,                0.96853,             0.00017538,             0.00017538,             0.00017538
                    112,                0.32868,                0.28052,                0.90501,                0.90079,                0.89912,                0.93569,                0.86557,                0.43899,                0.46839,                0.95857,             0.00017125,             0.00017125,             0.00017125
                    113,                0.33303,                0.29602,                 0.9053,                0.91379,                0.89163,                0.94031,                0.85198,                0.44523,                0.45647,                 0.9486,             0.00016713,             0.00016713,             0.00016713
                    114,                0.30653,                0.27387,                0.89804,                0.94793,                0.90363,                0.94626,                0.84751,                0.45278,                0.41111,                0.97035,               0.000163,               0.000163,               0.000163
                    115,                0.32169,                0.28522,                0.89795,                0.88933,                0.91692,                0.94971,                0.84725,                0.45863,                0.43364,                0.99178,             0.00015888,             0.00015888,             0.00015888
                    116,                0.32394,                0.29126,                0.91146,                0.91128,                0.90664,                0.94171,                0.85438,                0.44085,                0.46687,                0.97442,             0.00015475,             0.00015475,             0.00015475
                    117,                0.31949,                0.27683,                0.89939,                0.91955,                0.89694,                0.93877,                 0.8555,                0.43814,                0.47016,                0.95847,             0.00015062,             0.00015062,             0.00015062
                    118,                0.31325,                0.27619,                0.90339,                0.92692,                 0.9053,                0.94574,                0.85432,                0.45232,                0.45835,                 0.9779,              0.0001465,              0.0001465,              0.0001465
                    119,                0.31447,                0.27594,                0.90027,                0.91965,                0.88862,                0.91909,                0.83661,                0.43756,                0.43303,                0.97259,             0.00014237,             0.00014237,             0.00014237
                    120,                0.31171,                0.26981,                0.89927,                0.91238,                0.87724,                0.91649,                0.82967,                0.45661,                0.42052,                0.99347,             0.00013825,             0.00013825,             0.00013825
                    121,                0.32183,                0.28234,                0.90154,                0.93861,                0.91066,                0.93815,                 0.8418,                0.46505,                0.38602,                0.99486,             0.00013413,             0.00013413,             0.00013413
                    122,                0.30956,                0.27121,                0.89603,                0.91603,                0.90863,                0.93685,                0.85229,                0.44364,                0.39233,                0.98477,                0.00013,                0.00013,                0.00013
                    123,                0.32123,                0.26647,                0.90457,                0.82119,                0.93386,                0.95042,                 0.8653,                0.45782,                0.37109,                 1.0064,             0.00012588,             0.00012588,             0.00012588
                    124,                0.30661,                0.25951,                0.90164,                0.93404,                0.92511,                0.94883,                0.87375,                0.44556,                 0.3718,                0.98531,             0.00012175,             0.00012175,             0.00012175
                    125,                0.30056,                0.26499,                0.89044,                 0.9452,                0.89873,                  0.946,                0.85563,                0.42797,                0.39102,                0.97572,             0.00011763,             0.00011763,             0.00011763
                    126,                0.29999,                0.26203,                 0.8965,                0.95116,                  0.895,                0.94988,                0.87456,                0.42081,                0.40917,                 0.9761,              0.0001135,              0.0001135,              0.0001135
                    127,                0.31961,                0.27599,                0.90426,                0.91045,                0.90814,                0.94453,                0.87058,                 0.4437,                0.41988,                0.98575,             0.00010937,             0.00010937,             0.00010937
                    128,                0.29798,                0.25737,                0.89388,                 0.9209,                   0.91,                0.93701,                0.86602,                0.42351,                0.37599,                 0.9726,             0.00010525,             0.00010525,             0.00010525
                    129,                 0.3041,                  0.263,                0.89744,                 0.9322,                 0.8801,                0.96081,                0.89097,                 0.4303,                0.33403,                0.98656,             0.00010113,             0.00010113,             0.00010113
                    130,                0.30003,                0.26189,                0.89767,                 0.9582,                0.89417,                0.96118,                0.88716,                0.42411,                0.33051,                0.97308,                9.7e-05,                9.7e-05,                9.7e-05
                    131,                0.30065,                0.26271,                0.89228,                0.89255,                0.93158,                0.94811,                0.87783,                0.41344,                0.33844,                0.95387,             9.2875e-05,             9.2875e-05,             9.2875e-05
